,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
2521,611404286364459333,https://www.airbnb.com/rooms/611404286364459333,20240928012050,2024-09-28,city scrape,Leilighet mitt i sentrum av Oslo,"From this central accommodation you have a short distance to everything Oslo has to offer. Restaurants, shops and park nearby. The apartment has a shared roof terrace.",,https://a0.muscache.com/pictures/87376aaf-7d27-4552-8f62-2440894ae666.jpg,110269313,https://www.airbnb.com/users/show/110269313,Vidar,2017-01-07,"Oslo, Norway",,within a day,100%,88%,f,https://a0.muscache.com/im/pictures/user/af400c81-822d-41eb-86d9-bf75470c78ce.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/af400c81-822d-41eb-86d9-bf75470c78ce.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,,Frogner,,59.91492,10.72186,Entire condo,Entire home/apt,3,1.0,1 bath,1.0,1.0,"[""TV"", ""Fire extinguisher"", ""Kitchen"", ""Outdoor dining area"", ""Fast wifi \u2013 68 Mbps"", ""Paid parking on premises"", ""Washer"", ""Smoke alarm""]","$1,286.00",2,31,2,3,31,31,2.0,31.0,,t,0,10,17,20,2024-09-28,23,7,0,2022-06-26,2024-08-02,4.83,4.91,4.83,4.87,5.0,4.96,4.87,,f,1,1,0,0,0.84
2522,611511887591610777,https://www.airbnb.com/rooms/611511887591610777,20240928012050,2024-09-28,city scrape,Center of Oslo: bright apartment in quiet area,"Beautiful, peacful apartment in the middle of Oslo. 54m2. <br /><br />Two blocks away from Oslo's botanical garden, 12 minutes walk from Oslo Central Station, closeness to everything. Big enclosed backyard with playground for kids, space for bbq. <br /><br />One bedroom, spacious livingroom with lounge area, dining table and office space. <br /><br />In the bedroom there's also a treadmill suitable for walking and running.","Quiet neighbourhood in the city centre. Child friendly. Several playgrounds in close vicinity. Restaurant, bar and coffee shops on ground floor of the building.",https://a0.muscache.com/pictures/dd152f03-b7e8-4fc1-b215-d65e74af906e.jpg,16780705,https://www.airbnb.com/users/show/16780705,Hanna,2014-06-14,"Oslo, Norway",Enjoying life in Oslo and in my beautiful apartment that I recently bought. I work as a recruiter and spend most of my time volunteering to make the world a little better. I’m travelling when I can and spend quite a bit away from my place.,within a day,50%,33%,f,https://a0.muscache.com/im/pictures/user/8094d36b-649c-4c4f-927a-fa0f5c871db3.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/8094d36b-649c-4c4f-927a-fa0f5c871db3.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,f,"Gamle Oslo, Oslo, Norway",Gamle Oslo,,59.91302,10.76788,Entire condo,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Coffee maker"", ""Fire extinguisher"", ""Dishes and silverware"", ""Shared backyard \u2013 Fully fenced"", ""Heating"", ""Kitchen"", ""Free washer \u2013 In unit"", ""BBQ grill"", ""Iron"", ""Fast wifi \u2013 60 Mbps"", ""Dedicated workspace"", ""Refrigerator"", ""Children\u2019s books and toys"", ""Smoke alarm"", ""21 inch TV with Chromecast, HBO Max, Netflix"", ""Garden view"", ""Courtyard view""]","$1,000.00",14,365,14,14,365,365,14.0,365.0,,t,0,0,14,50,2024-09-28,3,1,0,2022-07-03,2024-07-25,5.0,5.0,5.0,5.0,5.0,5.0,4.67,,f,1,1,0,0,0.11
2528,612697923142845477,https://www.airbnb.com/rooms/612697923142845477,20240928012050,2024-09-28,city scrape,Lovely Apartment in Central Oslo,A beautiful and spacious apartment in an attractive and quiet part of central Oslo,"The apartment is centrally located in Ensjø. Adjacent to the famous areas Tøyen and Kampen, Ensjø is one of the up-and-coming residential areas of Oslo. Right next door to the apartment is Oslo's finest French bakery.",https://a0.muscache.com/pictures/miso/Hosting-612697923142845477/original/3e4e01f1-8c46-446b-829c-56bff39e81b0.jpeg,14542831,https://www.airbnb.com/users/show/14542831,Jonas,2014-04-21,"Oslo, Norway","Hi,

My name is Jonas, and I am an associate professor and part time musician, living in Oslo. I enjoy reading, writing, playing sports, and making music in my free time.",within a day,80%,40%,f,https://a0.muscache.com/im/pictures/user/e459d459-1206-49af-8e4a-f885e43b6adb.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/e459d459-1206-49af-8e4a-f885e43b6adb.jpg?aki_policy=profile_x_medium,,2,2,"['email', 'phone']",t,t,"Gamle Oslo, Oslo, Norway",Gamle Oslo,,59.91705,10.78844,Entire condo,Entire home/apt,4,1.0,1 bath,2.0,2.0,"[""Room-darkening shades"", ""Cooking basics"", ""Outdoor furniture"", ""Dedicated workspace"", ""Refrigerator"", ""Books and reading material"", ""Bed linens"", ""Fire extinguisher"", ""Dishes and silverware"", ""Lockbox"", ""Free washer \u2013 In unit"", ""Iron"", ""Piano"", ""Drying rack for clothing"", ""Park view"", ""Hot water"", ""Coffee maker"", ""Wifi"", ""Private patio or balcony"", ""Outdoor dining area"", ""Self check-in"", ""Cleaning products"", ""Paid parking on premises"", ""Valley view"", ""Smoke alarm"", ""Heating"", ""Hangers"", ""TV with Chromecast"", ""Mountain view"", ""Kitchen"", ""Sonos - Synchronized in bathroom and dining room sound system"", ""Extra pillows and blankets"", ""Clothing storage: dresser""]","$1,700.00",3,1125,3,3,1125,1125,3.0,1125.0,,t,30,60,90,365,2024-09-28,9,1,0,2022-05-20,2024-04-28,4.89,4.89,4.89,4.78,5.0,4.89,4.89,,f,2,1,1,0,0.31
2535,613735032909349580,https://www.airbnb.com/rooms/613735032909349580,20240928012050,2024-09-28,city scrape,"Lovely apartment, Charming area, Perfect location","Lovely apartment at popular St. Hanshaugen, located nearby trendy cafés, boutique shops, unique neighborhood restaurants and winebars, and close to one of Oslos most visited parks. Bus stops are within walking distance, otherwise it's convenient to walk or bicycle. St. Hanshaugen is one of Oslos most charming and high demand areas. The apartment will give you the ultimate Oslo experience. If you want to walk around with a smile on your face, this is your place. PS: NEW QUEENSIZE BED.","St. Hanshaugen is one of Oslo's most desirable areas. No wonder with the area's many green parks, cozy streets, lovely architecture and trendy shops, cafes and restaurants. The apartment is located in a building with three floors, with a beautifully landscaped backyard, which has won awards for its architecture.<br /><br />Located nearby there is a small shoppingcenter with a generous food store called Coop Mega, Liquor store, flower shop, bookshop, sushi etc. Restaurants and cafes/bakeries are also located here. Buses no. 21, 33, 34 and 54 are availble from here.<br /><br />The nearest bus stops from the apartment are Evald Ryghs gate (buses 34 and 54) and Lovisenberg (bus 37).<br /><br />Tourist attractions are easily accessible from the apartment. A bus will quickly take you to the city centre, with various cultural destinations. At Jernbanetorget you will find the Opera, the Munch museum (Norway's most famous artist) and the Deichman library - all are worth a look. A walk further w",https://a0.muscache.com/pictures/miso/Hosting-613735032909349580/original/2b25b11b-a077-4108-8cce-d2e965435c3b.jpeg,421155842,https://www.airbnb.com/users/show/421155842,Julie,2021-09-01,,,within a day,100%,100%,t,https://a0.muscache.com/im/pictures/user/User-421155842/original/767581ec-04dc-47a2-b12e-aa20fabffd40.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-421155842/original/767581ec-04dc-47a2-b12e-aa20fabffd40.jpeg?aki_policy=profile_x_medium,,1,1,['phone'],t,t,"Sankt Hanshaugen, Oslo, Norway",St. Hanshaugen,,59.93218,10.7465,Entire condo,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Wine glasses"", ""Room-darkening shades"", ""Cooking basics"", ""Blender"", ""Essentials"", ""Private backyard"", ""Body soap"", ""Outdoor furniture"", ""Freezer"", ""Long term stays allowed"", ""Dedicated workspace"", ""Refrigerator"", ""Bed linens"", ""Fire extinguisher"", ""Safe"", ""Dishes and silverware"", ""Shampoo"", ""BBQ grill"", ""Drying rack for clothing"", ""Hot water"", ""Conditioner"", ""Wifi"", ""Hot water kettle"", ""Hair dryer"", ""Baking sheet"", ""Outdoor dining area"", ""Pocket wifi"", ""Cleaning products"", ""Smoke alarm"", ""Heating"", ""Hangers"", ""Clothing storage: closet"", ""Coffee maker: pour-over coffee"", ""Oven"", ""Kitchen"", ""Free washer \u2013 In building"", ""Extra pillows and blankets"", ""Stove"", ""Dining table"", ""Coffee"", ""Garden view""]",$990.00,3,1125,14,14,1125,1125,14.0,1125.0,,t,0,0,26,173,2024-09-28,42,4,1,2022-05-03,2024-08-29,4.86,4.9,4.83,4.67,4.83,4.88,4.79,,f,1,1,0,0,1.43
2537,614180208981235401,https://www.airbnb.com/rooms/614180208981235401,20240928012050,2024-09-28,previous scrape,Spacious apartment with a view at Kampen,"Peaceful accommodation for 2 adults and 1 small child. Central and child-friendly location in charming Kampen, ideal location near the center of Oslo. Walking distance to restaurants, museums and parks. All the best cultural activities and nightlife are just a short walk away. <br /><br />We have a high chair and cot if needed.","Lekeplasser, matbutikk, baker og hyggelige kaféer i umiddelbartbar nærhet. <br />Kun 3 minutters gange til t-banen (metro), 5 minutters gange til buss som tar deg ned til byen eller direkte til Gardermoen flyplass.",https://a0.muscache.com/pictures/72ba249d-8975-4135-a1db-0daa5f348dd9.jpg,76375509,https://www.airbnb.com/users/show/76375509,Charlotte,2016-06-07,"Oslo, Norway",,within a day,100%,0%,f,https://a0.muscache.com/im/pictures/user/29a19875-598e-4f9c-9507-6bdb5623bb3c.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/29a19875-598e-4f9c-9507-6bdb5623bb3c.jpg?aki_policy=profile_x_medium,,1,2,"['email', 'phone']",t,t,"Gamle Oslo, Oslo, Norway",Gamle Oslo,,59.911572,10.787056,Entire condo,Entire home/apt,4,,1 bath,1.0,,"[""Wine glasses"", ""Room-darkening shades"", ""Cooking basics"", ""City skyline view"", ""Freezer"", ""Refrigerator"", ""Elevator"", ""Bed linens"", ""Fire extinguisher"", ""Safe"", ""Dishes and silverware"", ""Shared backyard \u2013 Not fully fenced"", ""Bathtub"", ""EV charger"", ""Free washer \u2013 In unit"", ""Drying rack for clothing"", ""Hot water"", ""Wifi"", ""Hot water kettle"", ""Private patio or balcony"", ""Baking sheet"", ""Paid parking lot off premises"", ""Outdoor dining area"", ""Cleaning products"", ""Paid parking on premises"", ""Smoke alarm"", ""Dishwasher"", ""Heating"", ""Hangers"", ""Private entrance"", ""Toaster"", ""Host greets you"", ""Oven"", ""Window guards"", ""Kitchen"", ""Free dryer \u2013 In unit"", ""Induction stove"", ""Outdoor furniture"", ""Children\u2019s dinnerware"", ""Dining table""]",,5,300,5,5,300,300,5.0,300.0,,t,0,0,0,0,2024-09-28,0,0,0,,,,,,,,,,,f,1,1,0,0,
2538,614194475545311172,https://www.airbnb.com/rooms/614194475545311172,20240928012050,2024-09-28,city scrape,Apartment with balcony in the heart of Majorstuen,"Newly refurbished apartment with balcony in the heart of Majorstuen. <br /><br />A 2 bedroom apartment located in Bogstadveien. Recently renovated and refurbished this is a spacy apartment for 1-4 people. <br /> <br />The apartment lies in the center of shopping, sightseeing, and dining and is perfect for a getaway in Oslo. Even though the apartment is located in the middle of Oslo, the apartment itself is an oasis made to forget you are in the middle of a big city.<br />Close to public transportation.","Majorstuen is a centrally located area with a wide array of cafes, shopping, and restaurants. Right outside the door, you will find, amongst other things, pharmacies, grocery stores, cafes, and clothing stores. There are also bars, restaurants, minigolf, and other activities a mere stone's throw away.",https://a0.muscache.com/pictures/miso/Hosting-614194475545311172/original/554ba59b-8835-4374-8ac2-ba486bb746df.jpeg,194739699,https://www.airbnb.com/users/show/194739699,Malene Constanse,2018-06-10,,,within a day,100%,100%,f,https://a0.muscache.com/im/pictures/user/eaeb8d92-f4f4-4361-90a7-09e39db066f9.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/eaeb8d92-f4f4-4361-90a7-09e39db066f9.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,"Majorstuen, Oslo, Norway",Frogner,,59.927032470703125,10.720632553100586,Entire loft,Entire home/apt,5,1.0,1 bath,2.0,2.0,"[""Wine glasses"", ""Room-darkening shades"", ""Cooking basics"", ""Essentials"", ""Outdoor furniture"", ""Body soap"", ""Freezer"", ""Refrigerator"", ""Indoor fireplace: wood-burning"", ""Bang & Olufsen Bluetooth sound system"", ""HDTV with HBO Max, Netflix"", ""Bed linens"", ""Fire extinguisher"", ""Dishes and silverware"", ""Lockbox"", ""BBQ grill"", ""Iron"", ""Hot water"", ""Coffee maker"", ""Hot water kettle"", ""Private patio or balcony"", ""Baking sheet"", ""Outdoor dining area"", ""Self check-in"", ""Cleaning products"", ""Bora induction stove"", ""Fast wifi \u2013 60 Mbps"", ""Paid parking on premises"", ""Smoke alarm"", ""Dishwasher"", ""Heating"", ""Hangers"", ""Paid street parking off premises"", ""Clothing storage: closet"", ""Oven"", ""Barbecue utensils"", ""Kitchen"", ""Portable fans"", ""Shower gel"", ""Dining table"", ""Coffee"", ""Shampoo""]","$3,200.00",2,100,2,2,100,100,2.0,100.0,,t,29,59,89,364,2024-09-28,11,1,0,2022-09-04,2024-06-29,4.82,4.73,4.82,4.55,4.91,4.91,4.55,,f,1,1,0,0,0.44
2566,620243809159617537,https://www.airbnb.com/rooms/620243809159617537,20240928012050,2024-09-28,city scrape,Cosy house with pool renovated in 2022. Great4kids,"Relax with the whole family in this peaceful home. Here is everything for the family such as heated pool, two soccer goals, trampoline. Gas & charcoal grill. <br /><br />All kitchen equipment.<br /><br />The house is totally renovated in 2022. The area for rent is about 170 sqm. Great for up to two families. <br /><br />Kitchen has luxury appliances and stone slices. <br /><br />Two living rooms: New 75 inch TV and a 55 inch TV for the kids.<br /><br />500mbit fiber internet with Wi-Fi throughout the house.<br /><br />3 x parking<br /><br />The house is a semi-detached house (never heard/seen the neighbor)","Very cosy neighborhood only 12min from Oslo by car, 20min with tram and buss.",https://a0.muscache.com/pictures/miso/Hosting-620243809159617537/original/19eb60ef-a8e1-497d-add5-9ba19b170135.jpeg,50363745,https://www.airbnb.com/users/show/50363745,Richard,2015-12-02,"Oslo, Norway",,within a day,100%,67%,f,https://a0.muscache.com/im/pictures/user/978a6198-022a-44c2-9733-273369a2a50f.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/978a6198-022a-44c2-9733-273369a2a50f.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,"Nordstrand, Oslo, Norway",Nordstrand,,59.8559,10.80998,Entire villa,Entire home/apt,8,1.5,1.5 baths,4.0,6.0,"[""Outdoor furniture"", ""Air conditioning"", ""Free street parking"", ""Freezer"", ""Free parking on premises"", ""Refrigerator"", ""Fire extinguisher"", ""Dishes and silverware"", ""Private pool"", ""Bathtub"", ""Lockbox"", ""Pack \u2019n play/Travel crib - always at the listing"", ""BBQ grill"", ""Washer"", ""Iron"", ""Drying rack for clothing"", ""Hot water"", ""Exercise equipment"", ""TV"", ""Wifi"", ""Private patio or balcony"", ""Hair dryer"", ""Outdoor dining area"", ""Self check-in"", ""Smoke alarm"", ""Dishwasher"", ""Heating"", ""Hangers"", ""Microwave"", ""Toaster"", ""Sun loungers"", ""Gym"", ""Oven"", ""Coffee maker: drip coffee maker"", ""Backyard"", ""Kitchen"", ""Induction stove"", ""Extra pillows and blankets"", ""Private entrance""]","$2,500.00",4,28,4,4,28,28,4.0,28.0,,t,6,6,6,6,2024-09-28,10,3,0,2022-07-14,2024-07-28,4.9,4.9,4.7,5.0,5.0,4.9,5.0,,f,1,1,0,0,0.37
2581,622450769994991307,https://www.airbnb.com/rooms/622450769994991307,20240928012050,2024-09-28,previous scrape,Stilig fabrikk-leilighet nært sentrum,A stylish and neat apartment that perfectly fits those who want to stay near Oslo and at the same time have quiet atmosphere.<br /><br />The apartment has 2 bedrooms with double beds in both rooms. Large living room with kitchen and loft. Large windows and a full 3.3 meters ceiling height in all rooms.<br /><br />15 minutes walk to Ekebergsletta (Norway Cup). <br />10 minutes walk to Barcode and Sørenga and about 15 minutes to the city center by public transport.<br /><br />The keys are picked up close to the Railway Station at a kiosk that is open 24/7.<br /><br />*Dog Friendly,"Gamle Oslo, Oslo, Norge<br />✦ The apartment is in a beautiful part of Gamle Oslo with a lot of nature nearby<br /><br />✦ Barcode is a nearby area with cafés, restaurants, swimming areas and exciting architecture<br /><br />✦ Ekeberg park is only 10 minutes walk from the apartment (see photos)<br /><br />✦ Svartdalsparken is a local gem worth a visit for its rich nature in the middle of the city, 15 minutes walk from the apartment",https://a0.muscache.com/pictures/miso/Hosting-622450769994991307/original/ccc853f2-7d51-4f72-bde5-a0d2c68f5720.jpeg,11959988,https://www.airbnb.com/users/show/11959988,Håkon Martin,2014-02-05,"Oslo, Norway","Norwegian travel enthusiast!

I am an architect based in Oslo that enjoy travelling, backpaking, hiking, skiing and visiting historical sites around the world",within a day,100%,100%,t,https://a0.muscache.com/im/pictures/user/18bc274b-0ade-4653-91fd-9499263f6a8e.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/18bc274b-0ade-4653-91fd-9499263f6a8e.jpg?aki_policy=profile_x_medium,,2,3,"['email', 'phone']",t,t,"Gamle Oslo, Oslo, Norway",Gamle Oslo,,59.903206,10.772798,Entire condo,Entire home/apt,4,,1 bath,2.0,,"[""Wine glasses"", ""Cooking basics"", ""Essentials"", ""Outdoor furniture"", ""Body soap"", ""Freezer"", ""Refrigerator"", ""Paid parking off premises"", ""Books and reading material"", ""Bed linens"", ""Fire extinguisher"", ""Safe"", ""Dishes and silverware"", ""Shampoo"", ""Free washer \u2013 In unit"", ""Private backyard \u2013 Not fully fenced"", ""BBQ grill"", ""Iron"", ""Drying rack for clothing"", ""Hot water"", ""Conditioner"", ""43 inch HDTV with Netflix, standard cable"", ""Arcade games"", ""Hot water kettle"", ""Hair dryer"", ""Baking sheet"", ""Outdoor dining area"", ""Cleaning products"", ""Game console: PS4"", ""Smoke alarm"", ""Dishwasher"", ""Board games"", ""Hangers"", ""Heating"", ""Bosch stainless steel electric stove"", ""Microwave"", ""Toaster"", ""Oven"", ""Coffee maker: drip coffee maker"", ""Clothing storage: closet and wardrobe"", ""Fast wifi \u2013 304 Mbps"", ""Kitchen"", ""Pets allowed"", ""Ethernet connection"", ""Shower gel"", ""Dining table"", ""Coffee"", ""Garden view""]",,4,30,4,4,1125,1125,4.0,1125.0,,t,0,0,0,0,2024-09-28,16,6,0,2022-07-25,2024-08-10,4.88,4.94,5.0,4.81,4.94,5.0,4.81,,f,1,1,0,0,0.6
2583,622989509380252397,https://www.airbnb.com/rooms/622989509380252397,20240928012050,2024-09-28,city scrape,Stay in the middle of it all!,"Unwind in my calm appartment at the edge of the vibrant Grünerløkka area.  Two beautiful parks are your closest neighbours, one is the Botanical Garden. Stroll to the city centre in just 12 minutes, cafes and shops are even closer. Enjoy cooking in the spacious kitchen, a cup of coffee in the morning sun or the lush backyard where you can also barbecue. I invite you to relax. The city pulse is a few stones throw away. You really have it all right outside your doorstep. Welcome!","Central neigbourhood with city sounds, yet suprisingly silent.",https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NjIyOTg5NTA5MzgwMjUyMzk3/original/15aa2af8-58bb-40d8-bb21-7d1d2f5ed439.jpeg,19037028,https://www.airbnb.com/users/show/19037028,Andrea,2014-07-28,"Oslo, Norway","When I travel I love to feel like a local. Because the locals know where the treasures are kept. I wander the streets like a pirate in search of the next crispy croissant, creamy cappuccino or blonde beer. I want it all. ",within a day,100%,56%,f,https://a0.muscache.com/im/pictures/user/4f6381d9-4068-4ed7-9ca6-a7127cb00acd.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/4f6381d9-4068-4ed7-9ca6-a7127cb00acd.jpg?aki_policy=profile_x_medium,,1,2,"['email', 'phone']",t,t,"Grünerløkka, Oslo, Norway",Grünerløkka,,59.91871,10.76485,Entire condo,Entire home/apt,3,1.0,1 bath,2.0,2.0,"[""Wine glasses"", ""Room-darkening shades"", ""Cooking basics"", ""Essentials"", ""Outdoor furniture"", ""Body soap"", ""Freezer"", ""Long term stays allowed"", ""Refrigerator"", ""Books and reading material"", ""Bed linens"", ""Fire extinguisher"", ""Safe"", ""Dishes and silverware"", ""Carbon monoxide alarm"", ""Fast wifi \u2013 292 Mbps"", ""Free washer \u2013 In unit"", ""BBQ grill"", ""Drying rack for clothing"", ""KEF LSX Bluetooth sound system"", ""Hot water"", ""Electrolux electric stove"", ""Courtyard view"", ""Coffee maker"", ""TV"", ""Hot water kettle"", ""Shared backyard \u2013 Fully fenced"", ""Baking sheet"", ""Outdoor dining area"", ""Cleaning products"", ""Paid parking on premises"", ""Luggage dropoff allowed"", ""Bread maker"", ""Single level home"", ""Smoke alarm"", ""Dishwasher"", ""Heating"", ""Hangers"", ""Paid street parking off premises"", ""Clothing storage: closet"", ""Oven"", ""Kitchen"", ""Free dryer \u2013 In unit"", ""Extra pillows and blankets"", ""Coffee""]","$1,550.00",7,1125,7,7,1125,1125,7.0,1125.0,,t,29,59,89,364,2024-09-28,15,2,0,2022-06-30,2024-08-11,4.93,4.87,5.0,4.87,4.93,4.8,4.87,,f,1,1,0,0,0.55
2584,623032928831781663,https://www.airbnb.com/rooms/623032928831781663,20240928012050,2024-09-28,city scrape,Nydelig leilighet sentralt på Sagene,"Simple and peaceful accommodation centrally located in Sagene. Sagene, the Magazine TimeOut, has been named one of the world's coolest neighborhoods. In this apartment you have the opportunity to stay in the middle of the neighborhood! Immediate proximity to shops and cafes locally at Sagene, Akerselva and Grunerløkka. Perfect place to explore the whole of Oslo and especially the slightly more unique and charming neighborhoods just outside the city center. <br />The apartment is 30 square meters and has a double bed + a sofa for one person to sleep on.","There is a short walk to cafes and restaurants on Sagene. In addition, it is a short way to the upper part of Grunerløkka where there are restaurants with all kinds of cuisines, cosy wine bars and small shops.",https://a0.muscache.com/pictures/miso/Hosting-623032928831781663/original/1e81139b-fe39-4851-8e44-7119d4968b85.jpeg,56970667,https://www.airbnb.com/users/show/56970667,Emma,2016-02-01,"Oslo, Norway",33 year old doctor from Norway. Living in Oslo and trying to explore the world every chance I get and renting out my apartment to fellow explorers when I do!,within a day,100%,100%,f,https://a0.muscache.com/im/pictures/user/552c8a3a-6e97-494f-8925-1759c1224507.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/552c8a3a-6e97-494f-8925-1759c1224507.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,"Bydel Sagene, Oslo, Norway",Sagene,,59.93408,10.75208,Entire condo,Entire home/apt,3,1.0,1 bath,1.0,1.0,"[""Wine glasses"", ""Radiant heating"", ""Room-darkening shades"", ""Cooking basics"", ""Essentials"", ""Freezer"", ""Dedicated workspace"", ""Refrigerator"", ""Books and reading material"", ""BBQ grill: charcoal"", ""Bed linens"", ""Fire extinguisher"", ""Safe"", ""Dishes and silverware"", ""Free washer \u2013 In unit"", ""Iron"", ""Drying rack for clothing"", ""Hot water"", ""TV"", ""Wifi"", ""Hot water kettle"", ""Hair dryer"", ""Shared backyard \u2013 Fully fenced"", ""Cleaning products"", ""Paid parking on premises"", ""Smoke alarm"", ""Dishwasher"", ""Hangers"", ""Toaster"", ""Oven"", ""Clothing storage: closet and wardrobe"", ""Kitchen"", ""Extra pillows and blankets"", ""Stove"", ""Dining table""]",$950.00,3,365,3,3,365,365,3.0,365.0,,t,3,3,3,3,2024-09-28,8,4,0,2022-10-25,2024-08-11,5.0,4.88,5.0,4.88,5.0,4.88,5.0,,f,1,1,0,0,0.34
2595,624523634508038918,https://www.airbnb.com/rooms/624523634508038918,20240928012050,2024-09-28,previous scrape,Leilighet med fantastisk utsikt på Tøyen,"The apartment is centrally located on Tøyen, on the 9th floor in one of the iconic high blocks on Enerhaugen. <br /><br />The apartment is 70sqm, has amazing views, modern kitchen and bathroom, one bedroom with double bed and a small TV lounge with sofa that can be used for accommodation. In addition we have a field bed that can be used if there are 4 visitors. <br /><br />It is walking distance to Grunerløkka and Oslo city center.","Quiet and quiet neighborhood, centrally located in central Oslo.",https://a0.muscache.com/pictures/miso/Hosting-624523634508038918/original/5b6db451-0c5a-4b3c-87bd-0cb5d624b32d.png,9037763,https://www.airbnb.com/users/show/9037763,Annette,2013-09-24,"Oslo, Norway","I love to travel and I think the places you sleep should be a part of the adventure too, 

Other than that I'm tidy, I will respect your home, and appreciate your hospitality.",within a day,100%,92%,f,https://a0.muscache.com/im/users/9037763/profile_pic/1413487652/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/9037763/profile_pic/1413487652/original.jpg?aki_policy=profile_x_medium,,2,2,"['email', 'phone']",t,t,"Gamle Oslo, Oslo, Norway",Gamle Oslo,,59.91196,10.76703,Entire condo,Entire home/apt,4,,1 bath,1.0,,"[""Cooking basics"", ""City skyline view"", ""Essentials"", ""Dedicated workspace"", ""Refrigerator"", ""Books and reading material"", ""Elevator"", ""Bed linens"", ""Fire extinguisher"", ""Dishes and silverware"", ""Climbing wall"", ""Washer"", ""Hot water"", ""Coffee maker"", ""TV"", ""Wifi"", ""Hot water kettle"", ""Private patio or balcony"", ""Baking sheet"", ""Cleaning products"", ""Smoke alarm"", ""Dishwasher"", ""Central heating"", ""Toaster"", ""Host greets you"", ""Oven"", ""Kitchen"", ""Portable fans"", ""Dining table""]",,3,10,3,3,10,10,3.0,10.0,,t,0,0,0,0,2024-09-28,10,1,0,2022-06-26,2024-06-30,5.0,4.9,4.8,5.0,5.0,4.7,4.8,,f,1,1,0,0,0.36
