,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
1201,32698167,https://www.airbnb.com/rooms/32698167,20240928012050,2024-09-28,city scrape,Urban Apartments Grünerløkka 2-bedrooms,"In our beautiful fully equipped 2 bedroom apartment, you will be staying in high standard with nice furniture.<br /><br />The apartment is suitable for one or three persons and a balcony. You will enjoy a pleasant stay in the middle of Oslo's most hippest district, Grünerløkka!<br />Service fee included in the price.","The Location:<br />- Supermarket/ grocery store: 5 min walk to Kiwi<br />- Restaurants: 3 min walk to Olaf Ryes plass. 9 min walk to the Food hall(Mathallen Oslo)<br />- Gym: 8 min walk to Vulkan Athletica<br />- Transport: 3 min walk to Olaf Ryes plass where you can take the tram.<br />- Distance to Oslo Central station: 11 min by tram (#11, #12,#13) or 15-20 min. walk.<br />- Bars and night life: 3 min to Parkteatret. 9 min walk to Blå (by the river) <br />- Pharmacy: 4 min walk to apotek1 Grünerløkka<br />- Sports bar: 5 min walk to O’Reillys Irish pub<br />- Kinder garden: 6 min walk to Grüner barnehage<br /><br />There is a short walking distance to good dining places, various outdoor life activities, transport (tram) and not least the city's most well-known summer park, Sofienbergparken! The tram runs every 5 minutes and easily connects you to the rest of Oslo from the city centre.",https://a0.muscache.com/pictures/500ec69b-f9a6-46a1-a736-9a50e1333c8d.jpg,233933220,https://www.airbnb.com/users/show/233933220,Urban,2019-01-02,"Oslo, Norway","Urban Apartments er et selskap som tilbyr korttidsutleie i Oslo sentrum. 
Leilighetene er for alle, men består for det meste av bedriftskunder. 
",within an hour,99%,100%,f,https://a0.muscache.com/im/pictures/user/f244d2e4-0a02-41de-9cb8-e1eb3701df5f.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/f244d2e4-0a02-41de-9cb8-e1eb3701df5f.jpg?aki_policy=profile_x_medium,Grünerløkka,93,97,['phone'],t,t,"Grünerløkka, Oslo, Norway",Grünerløkka,,59.92278,10.7605,Entire rental unit,Entire home/apt,3,1.0,1 bath,2.0,3.0,"[""Cooking basics"", ""Essentials"", ""Long term stays allowed"", ""Dedicated workspace"", ""Refrigerator"", ""Smart lock"", ""Bed linens"", ""Fire extinguisher"", ""Dishes and silverware"", ""Free washer \u2013 In unit"", ""Iron"", ""Exterior security cameras on property"", ""Hot water"", ""Crib"", ""Wifi"", ""Hot water kettle"", ""Hair dryer"", ""Private patio or balcony"", ""Self check-in"", ""Luggage dropoff allowed"", ""Smoke alarm"", ""Dishwasher"", ""Heating"", ""Hangers"", ""Oven"", ""Kitchen"", ""High chair"", ""Extra pillows and blankets"", ""Stove"", ""Private entrance"", ""Shampoo""]","$1,113.00",3,364,3,3,1125,1125,3.0,1125.0,,t,9,16,26,260,2024-09-28,197,48,3,2019-03-17,2024-09-08,4.56,4.75,4.81,4.78,4.54,4.81,4.56,,t,93,93,0,0,2.92
1208,32916353,https://www.airbnb.com/rooms/32916353,20240928012050,2024-09-28,city scrape,Fully furnished peaceful apartment,"Before Bjørndal Senter, branch off on your left hand side after Rema food store and then branch off on your right hand side.",,https://a0.muscache.com/pictures/4d13882c-3012-40d9-b23a-0b200ecc883a.jpg,229722555,https://www.airbnb.com/users/show/229722555,Evelyne,2018-12-08,,,within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/0edf3191-ab8f-497c-bac3-75d85e016a86.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/0edf3191-ab8f-497c-bac3-75d85e016a86.jpg?aki_policy=profile_x_medium,,1,5,"['email', 'phone']",t,t,,Søndre Nordstrand,,59.82812,10.83864,Private room in condo,Private room,2,1.0,1 shared bath,1.0,3.0,"[""Wine glasses"", ""Cooking basics"", ""Blender"", ""Essentials"", ""Outdoor furniture"", ""Body soap"", ""Freezer"", ""Long term stays allowed"", ""Dedicated workspace"", ""Refrigerator"", ""Paid parking off premises"", ""TV with standard cable"", ""Bed linens"", ""Fire extinguisher"", ""Free residential garage on premises"", ""Dishes and silverware"", ""Carbon monoxide alarm"", ""Bathtub"", ""EV charger"", ""Free washer \u2013 In unit"", ""Iron"", ""Private living room"", ""Hot water"", ""Conditioner"", ""Coffee maker"", ""Wifi"", ""Hot water kettle"", ""Hair dryer"", ""Private patio or balcony"", ""Cleaning available during stay"", ""Outdoor dining area"", ""Cleaning products"", ""Paid parking on premises"", ""Dryer"", ""Smoke alarm"", ""Dishwasher"", ""Heating"", ""Hangers"", ""Private entrance"", ""Clothing storage: closet"", ""Microwave"", ""Shower gel"", ""Oven"", ""Kitchen"", ""Extra pillows and blankets"", ""Dining table"", ""Coffee""]",$735.00,7,1125,7,7,1125,1125,7.0,1125.0,,t,30,60,90,180,2024-09-28,11,0,0,2019-05-10,2023-08-30,4.82,4.82,4.73,5.0,5.0,4.64,4.73,,t,1,0,1,0,0.17
1214,32980694,https://www.airbnb.com/rooms/32980694,20240928012050,2024-09-28,city scrape,**CENTRAL** FREE PARKING**COMFORTABLE,"The room is in a light and spacious 3-room apartment located in the building's 2nd floor with lift access.<br /><br />The apartment is located in the city centre, in the district of Grünerløkka. <br /><br />The common areas are shared with the host and other guests.  The kitchen has all you need for cooking any meal for several people. Enjoy your morning coffee in our spacious dining area<br /><br /> Two of the bedrooms are rented out. The host lives in the same apartment.<br /><br />Free parking is available only between 20 and 09","The Munch museum <br />The Botanic garden<br />The Sofienberg park <br /><br />Plenty of bars, restaurants and pubs as well as green areas and sport grounds around",https://a0.muscache.com/pictures/e294514b-c2d2-4d69-832c-cbafedd9aa32.jpg,242663071,https://www.airbnb.com/users/show/242663071,Alex,2019-02-12,"Oslo, Norway","Professional superhost with years of international experience.

Luxury apartments, alluring and seductive Upscale property in the heart of Central Oslo and Las Palmas. A champion of usually forgotten details, a sensory sanctum, a jewel in a big city life area. A night we aim you will never forget. 


We have a range of beautiful apartments within our rental services, our aim is to truly offer an experience to remember and always guarantee you a feeling of being home.

Welcome to your new home! 

I am available any time for any inquiry.
I love the area and i'm on hand if needed, but generally i'll leave you to enjoy your stay. 

Check-in and check-out is really flexible and stress free. ",within an hour,100%,96%,t,https://a0.muscache.com/im/pictures/user/User/original/26dcdc76-090d-4b52-a7c6-779bfc18df9c.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User/original/26dcdc76-090d-4b52-a7c6-779bfc18df9c.jpeg?aki_policy=profile_x_medium,,18,25,"['email', 'phone', 'work_email']",t,t,"Oslo, Norway",Grünerløkka,,59.92006,10.76551,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,"[""Free parking on premises"", ""Refrigerator"", ""Bed linens"", ""Free washer \u2013 In unit"", ""Shared patio or balcony"", ""Drying rack for clothing"", ""Fast wifi \u2013 619 Mbps"", ""Shared beach access"", ""Self check-in"", ""Shared gym nearby"", ""Board games"", ""Private hot tub"", ""Oven"", ""Outdoor furniture"", ""Dining table"", ""Coffee"", ""Shampoo"", ""Room-darkening shades"", ""Building staff"", ""Ceiling fan"", ""Body soap"", ""Free street parking"", ""Safe"", ""Dishes and silverware"", ""Carbon monoxide alarm"", ""Bathtub"", ""Iron"", ""Park view"", ""Exercise equipment"", ""Pack \u2019n play/Travel crib"", ""Hot water kettle"", ""Shared backyard \u2013 Fully fenced"", ""Outdoor dining area"", ""Paid parking on premises"", ""Hangers"", ""Window AC unit"", ""High chair"", ""Resort access"", ""Extra pillows and blankets"", ""Waterfront"", ""Garden view"", ""Wine glasses"", ""City skyline view"", ""Essentials"", ""Long term stays allowed"", ""First aid kit"", ""BBQ grill"", ""Central air conditioning"", ""Laundromat nearby"", ""Hot water"", ""Bluetooth sound system"", ""Crib"", ""Hair dryer"", ""Cleaning products"", ""Luggage dropoff allowed"", ""Children's playroom"", ""Single level home"", ""Clothing storage: closet"", ""Lock on bedroom door"", ""Free dryer \u2013 In unit"", ""Induction stove"", ""Cooking basics"", ""Dedicated workspace"", ""Paid parking off premises"", ""Elevator"", ""Smoking allowed"", ""Fire extinguisher"", ""Children\u2019s books and toys"", ""Conditioner"", ""Baby bath"", ""Smoke alarm"", ""Dishwasher"", ""Heating"", ""65 inch HDTV with standard cable, premium cable"", ""Microwave"", ""Beach essentials"", ""Kitchen"", ""Shower gel"", ""Children\u2019s dinnerware""]",$873.00,14,1125,14,60,390,1125,54.5,477.9,,t,0,0,6,281,2024-09-28,164,1,0,2019-03-23,2023-12-28,4.55,4.52,4.55,4.66,4.79,4.87,4.56,,t,15,8,3,4,2.44
1228,33225812,https://www.airbnb.com/rooms/33225812,20240928012050,2024-09-28,city scrape,Urban Apartments Grünerløkka Spacious Studio,"In our beautiful fully equipped studio apartments, will you be staying in high standard with nice furniture.<br />Cozy living room, fully equipped kitchen and 2 beds (or one semi-Kingsize).<br />The apartment is suitable for one or two persons. You will enjoy a pleasant stay in the middle of Oslo's most hippest district, Grünerløkka!<br />Service fee included in the price.","The Location:<br />- Supermarket/ grocery store: 5 min walk to Kiwi<br />- Restaurants: 3 min walk to Olaf Ryes plass. 9 min walk to the Food hall(Mathallen Oslo)<br />- Gym: 8 min walk to Vulkan Athletica<br />- Transport: 3 min walk to Olaf Ryes plass where you can take the tram.<br />- Distance to Oslo Central station: 11 min by tram (#11, #12,#13) or 15-20 min. walk.<br />- Bars and night life: 3 min to Parkteatret. 9 min walk to Blå (by the river <br />- Pharmacy: 4 min walk to apotek1 Grünerløkka<br />- Sports bar: 5 min walk to O’Reillys Irish pub<br />- Kinder garden: 6 min walk to Grüner kindergarten<br /><br />There is a short walking distance to good dining places, various outdoor life activities, transport (tram) and not least the city's most well-known summer park, Sofienbergparken! The tram runs every 5 minutes and easily connects you to the rest of Oslo from the city centre.",https://a0.muscache.com/pictures/cfb0113e-8f35-4480-92f3-574acc7ce98b.jpg,233933220,https://www.airbnb.com/users/show/233933220,Urban,2019-01-02,"Oslo, Norway","Urban Apartments er et selskap som tilbyr korttidsutleie i Oslo sentrum. 
Leilighetene er for alle, men består for det meste av bedriftskunder. 
",within an hour,99%,100%,f,https://a0.muscache.com/im/pictures/user/f244d2e4-0a02-41de-9cb8-e1eb3701df5f.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/f244d2e4-0a02-41de-9cb8-e1eb3701df5f.jpg?aki_policy=profile_x_medium,Grünerløkka,93,97,['phone'],t,t,"Grünerløkka, Oslo, Norway",Grünerløkka,,59.92485,10.76083,Entire rental unit,Entire home/apt,2,1.0,1 bath,0.0,2.0,"[""Cooking basics"", ""Essentials"", ""Long term stays allowed"", ""Refrigerator"", ""Smart lock"", ""Bed linens"", ""Fire extinguisher"", ""Dishes and silverware"", ""Exterior security cameras on property"", ""Hot water"", ""Crib"", ""Wifi"", ""Hot water kettle"", ""Private patio or balcony"", ""Self check-in"", ""Smoke alarm"", ""Dishwasher"", ""Heating"", ""Hangers"", ""Oven"", ""Kitchen"", ""Stove"", ""Private entrance"", ""Shampoo""]","$1,002.00",3,364,3,3,1125,1125,3.0,1125.0,,t,13,31,58,325,2024-09-28,232,46,3,2019-06-03,2024-09-10,4.58,4.74,4.7,4.81,4.58,4.89,4.6,,t,93,93,0,0,3.58
1267,33948113,https://www.airbnb.com/rooms/33948113,20240928012050,2024-09-28,city scrape,Sentral 2 roms m peis,Walking distance to several bars and restaurants. 1 min to off communication. <br />The apartment have a fireplace and are cozy decorated. <br />Here you can stay centrally and have Sofienberg park just across the street if you want a jog.,Cozy green areas short walking distance to shopping bars and off communication,https://a0.muscache.com/pictures/miso/Hosting-33948113/original/c49aa828-b49f-4e24-a4f5-4a594ccbe01a.jpeg,49322375,https://www.airbnb.com/users/show/49322375,Barbro,2015-11-18,"Oslo, Norway",,a few days or more,0%,100%,f,https://a0.muscache.com/im/pictures/user/94351ef1-3a44-4031-855b-f27af3435240.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/94351ef1-3a44-4031-855b-f27af3435240.jpg?aki_policy=profile_x_medium,Grünerløkka,2,5,"['email', 'phone']",t,t,"Grünerløkka, Oslo, Norway",Grünerløkka,,59.92545492312045,10.76391610990026,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,2.0,"[""Cooking basics"", ""Essentials"", ""Body soap"", ""Indoor fireplace"", ""Air conditioning"", ""Dedicated workspace"", ""Bed linens"", ""Fire extinguisher"", ""Dishes and silverware"", ""Washer"", ""Hot water"", ""TV"", ""Wifi"", ""Outdoor dining area"", ""Cleaning products"", ""Paid parking on premises"", ""Dryer"", ""Smoke alarm"", ""Heating"", ""Host greets you"", ""Kitchen"", ""Private entrance""]","$2,000.00",1,365,1,1,365,365,1.0,365.0,,t,30,60,90,270,2024-09-28,0,0,0,,,,,,,,,,,t,2,2,0,0,
1321,35378047,https://www.airbnb.com/rooms/35378047,20240928012050,2024-09-28,city scrape,Architect-designed apartment in the heart of Oslo,"This 89 square meter, architect designed apartment is situated between tall trees in a quiet neighbourhood, and in close proximity to everything Oslo has to offer.<br /><br />We wish to welcome people from all over the world!",A more detailed description of the local attributes will be available in print,https://a0.muscache.com/pictures/aa0a08f0-490d-4142-bd87-00adae4804bf.jpg,230019538,https://www.airbnb.com/users/show/230019538,Morten,2018-12-10,"Oslo, Norway","Tannlege, 1987",,,,f,https://a0.muscache.com/im/pictures/user/0c334c24-0f25-4dd7-9956-97d44c818452.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/0c334c24-0f25-4dd7-9956-97d44c818452.jpg?aki_policy=profile_x_medium,St. Hanshaugen,2,2,"['email', 'phone']",t,t,"Sankt Hanshaugen, Oslo, Norway",St. Hanshaugen,,59.93157,10.73518,Entire condo,Entire home/apt,4,1.0,1 bath,2.0,2.0,"[""Patio or balcony"", ""Cooking basics"", ""Essentials"", ""Indoor fireplace"", ""Refrigerator"", ""First aid kit"", ""Elevator"", ""Bed linens"", ""Fire extinguisher"", ""Dishes and silverware"", ""Carbon monoxide alarm"", ""BBQ grill"", ""Washer"", ""Iron"", ""Hot water"", ""Coffee maker"", ""Wifi"", ""Hair dryer"", ""Luggage dropoff allowed"", ""Single level home"", ""Dryer"", ""Smoke alarm"", ""Dishwasher"", ""Heating"", ""Hangers"", ""Oven"", ""Backyard"", ""Kitchen"", ""Changing table"", ""Extra pillows and blankets"", ""Stove"", ""Children\u2019s dinnerware"", ""Shampoo""]","$4,000.00",3,120,3,3,1125,1125,3.0,1125.0,,t,30,60,90,365,2024-09-28,8,0,0,2019-06-30,2021-12-29,5.0,5.0,5.0,5.0,5.0,5.0,4.88,,t,1,1,0,0,0.13
1331,35573941,https://www.airbnb.com/rooms/35573941,20240928012050,2024-09-28,city scrape,"Modern apartment at Vinderen, 4 beds, 60 m2","Fully equipped apartment in a lovely part of Oslo! <br /><br />60 square meter flat with two bedrooms for 4 adults and one baby (possible with 2 if desired) in Vinderen, just a few minutes from Majorstuen. <br /><br />Vinderen can offer cafe's, shops, grocery stores and restaurants, and by bus or tram You'll be downtown Oslo in a few minutes. <br /><br />Wifi, TV, dish washer and washing machine are all available. If You travel by car, parking can be arranged.","The winner is a beautiful and relatively quiet part of Oslo. The area is primarily a residential neighborhood and has many single homes. The subway has a stop here, Winner Station, which is 5 minutes walk from the apartment. At the subway station there is also  a  nice shopping center with various shops and cafes.",https://a0.muscache.com/pictures/0ab69890-8dd0-4d6e-b3da-927dc704b7c6.jpg,267651406,https://www.airbnb.com/users/show/267651406,Magnhild,2019-06-10,,,within a few hours,100%,100%,f,https://a0.muscache.com/im/pictures/user/c03abf86-d37f-4416-8163-c966c6276b19.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/c03abf86-d37f-4416-8163-c966c6276b19.jpg?aki_policy=profile_x_medium,,2,2,"['email', 'phone']",t,t,"Ris, Oslo, Norway",Vestre Aker,,59.94383,10.70076,Entire condo,Entire home/apt,4,1.0,1 bath,2.0,3.0,"[""Room-darkening shades"", ""Cooking basics"", ""Essentials"", ""Outdoor furniture"", ""Long term stays allowed"", ""Dedicated workspace"", ""Refrigerator"", ""Free parking on premises"", ""First aid kit"", ""Elevator"", ""50 inch HDTV with premium cable"", ""Bed linens"", ""Fire extinguisher"", ""Dishes and silverware"", ""Carbon monoxide alarm"", ""Lockbox"", ""EV charger"", ""Washer"", ""Iron"", ""Shared patio or balcony"", ""Children\u2019s books and toys"", ""Hot water"", ""Coffee maker"", ""Crib"", ""Pack \u2019n play/Travel crib"", ""Wifi"", ""Hair dryer"", ""Outdoor dining area"", ""Baby bath"", ""Pocket wifi"", ""Self check-in"", ""Paid parking on premises"", ""Single level home"", ""Smoke alarm"", ""Dishwasher"", ""Heating"", ""Hangers"", ""Microwave"", ""Oven"", ""Backyard"", ""Window guards"", ""Kitchen"", ""Ethernet connection"", ""High chair"", ""Changing table"", ""Extra pillows and blankets"", ""Stove"", ""Children\u2019s dinnerware"", ""Private entrance"", ""Shampoo""]",$920.00,30,730,30,30,730,730,30.0,730.0,,t,6,6,6,60,2024-09-28,71,14,1,2019-06-21,2024-09-14,4.82,4.87,4.79,4.93,4.9,4.82,4.77,,t,2,2,0,0,1.11
1342,35762072,https://www.airbnb.com/rooms/35762072,20240928012050,2024-09-28,city scrape,"Oslo, flott solrik toppleilighet med terrasse",,"In the middle of Oslo, very central location.<br />Lots of cafées and restaurants in the surrounding area. Good area with parks and green areas  in walking distance.",https://a0.muscache.com/pictures/8a09220e-02f3-4ad0-b23a-456cc0fb3321.jpg,24093115,https://www.airbnb.com/users/show/24093115,Gunnar,2014-11-24,"Oslo, Norway","Energic, sporty property owner.",within an hour,100%,100%,t,https://a0.muscache.com/im/users/24093115/profile_pic/1416810748/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/24093115/profile_pic/1416810748/original.jpg?aki_policy=profile_x_medium,St. Hanshaugen,1,3,"['email', 'phone']",t,t,"Sankt Hanshaugen, Oslo, Norway",St. Hanshaugen,,59.92073,10.73816,Entire condo,Entire home/apt,4,1.0,1 bath,2.0,3.0,"[""Wine glasses"", ""Radiant heating"", ""Outlet covers"", ""Room-darkening shades"", ""Cooking basics"", ""City skyline view"", ""Waterfront"", ""Blender"", ""Essentials"", ""Outdoor furniture"", ""Body soap"", ""Air conditioning"", ""Backyard - Fully fenced"", ""Gym nearby"", ""Long term stays allowed"", ""Dedicated workspace"", ""Lake access"", ""First aid kit"", ""Books and reading material"", ""Bed linens"", ""Fire extinguisher"", ""Bikes"", ""Safe"", ""Dishes and silverware"", ""40 inch TV with standard cable, Chromecast"", ""Carbon monoxide alarm"", ""Lockbox"", ""EV charger"", ""Crib - always at the listing"", ""Iron"", ""Laundromat nearby"", ""Drying rack for clothing"", ""Hot water"", ""Free dryer \u2013 In building"", ""Coffee maker"", ""Shared beach access"", ""Pack \u2019n play/Travel crib"", ""Hot water kettle"", ""Hair dryer"", ""Baking sheet"", ""Private patio or balcony"", ""Bosch oven"", ""Outdoor dining area"", ""Self check-in"", ""Cleaning products"", ""Wifi \u2013 28 Mbps"", ""Siemens induction stove"", ""Luggage dropoff allowed"", ""Single level home"", ""Smoke alarm"", ""Dishwasher"", ""Hangers"", ""Private entrance"", ""Paid street parking off premises"", ""Sun loungers"", ""Toaster"", ""Shower gel"", ""Clothing storage: closet and wardrobe"", ""Window guards"", ""Kitchen"", ""Paid parking lot on premises"", ""Portable heater"", ""Ethernet connection"", ""High chair"", ""Portable fans"", ""Extra pillows and blankets"", ""Harman Kardon player unit sound system with aux"", ""Siemens, model KI21RAF30 refrigerator"", ""Children\u2019s dinnerware"", ""Dining table"", ""Coffee"", ""Shampoo""]","$1,300.00",2,2,2,2,1125,1125,2.0,1125.0,,t,0,0,0,72,2024-09-28,150,45,1,2021-06-29,2024-08-30,4.79,4.81,4.73,4.83,4.79,4.85,4.7,,t,1,1,0,0,3.79
1382,36624042,https://www.airbnb.com/rooms/36624042,20240928012050,2024-09-28,city scrape,Sentral og luftig leilighet,"Wonderfully located apartment with a great roof terrace. Large living room and kitchen. Bathroom with bathtub and shower. Here you live in the middle of Smørøye, with walking distance to subway, sights, shopping and the fjord.",,https://a0.muscache.com/pictures/77f1bb15-89cc-404a-a204-f8f373fac355.jpg,10167818,https://www.airbnb.com/users/show/10167818,Camilla,2013-11-21,"Oslo, Norway",,within an hour,100%,98%,t,https://a0.muscache.com/im/pictures/user/9d12828d-2c9a-49ec-9c44-e6570b0db2cb.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/9d12828d-2c9a-49ec-9c44-e6570b0db2cb.jpg?aki_policy=profile_x_medium,Majorstuen,1,1,"['email', 'phone']",t,t,,Frogner,,59.91981,10.72508,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,"[""Cooking basics"", ""Essentials"", ""Indoor fireplace"", ""Refrigerator"", ""Elevator"", ""Fire extinguisher"", ""Dishes and silverware"", ""Bathtub"", ""Washer"", ""Iron"", ""Wifi"", ""Hair dryer"", ""Dryer"", ""Smoke alarm"", ""Dishwasher"", ""Heating"", ""Hangers"", ""Microwave"", ""Host greets you"", ""Oven"", ""Kitchen"", ""Stove""]",$750.00,1,31,1,1,1125,1125,1.0,1125.0,,t,17,20,33,33,2024-09-28,104,25,6,2019-07-23,2024-09-22,4.86,4.85,4.6,4.92,4.98,4.97,4.79,,t,1,0,1,0,1.65
1392,36832543,https://www.airbnb.com/rooms/36832543,20240928012050,2024-09-28,city scrape,Cozy and unique apartment with very good location,"Cozy and personal apartment at St. Hanshaugen. Short walk (12 min) to  downtown Oslo, as well as  to Grünerløkka, Bislett, Majorstua etc.  Public transport/buses just two minutes away and a supermarked  around the  corner.  Plenty of nice cafés, bars and  restaurants  i the neighbourhood and a beautiful park a few minutes away. Two  bedrooms facing a quiet backyard and cosy dining and sitting rooms . Practical and well equipped kitchen,  bathroom with warm floor tiles. Good heating system.","St Hanshaugen park a few minutes away and nice cafes, bars and restaurants in the neighborhood. Walking distance to city center, 10 minutes  to Grunerløkka, supermarket just around the corner. Very good location, close to ""everything"".",https://a0.muscache.com/pictures/3f238b92-270f-4603-aea1-a3dd252f3cd9.jpg,5936778,https://www.airbnb.com/users/show/5936778,Åse,2013-04-15,"Oslo, Norway",,within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/c11d9c29-ce4c-479f-a895-6ebcaee6b103.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/c11d9c29-ce4c-479f-a895-6ebcaee6b103.jpg?aki_policy=profile_x_medium,,1,3,"['email', 'phone']",t,t,"Oslo, Norway",St. Hanshaugen,,59.92425,10.7458,Entire rental unit,Entire home/apt,3,1.0,1 bath,2.0,2.0,"[""Wine glasses"", ""Cooking basics"", ""Essentials"", ""Freezer"", ""Dedicated workspace"", ""Refrigerator"", ""First aid kit"", ""Books and reading material"", ""TV with standard cable"", ""Bed linens"", ""Fire extinguisher"", ""Safe"", ""Record player"", ""Pack \u2019n play/Travel crib - available upon request"", ""Dishes and silverware"", ""BBQ grill"", ""Washer"", ""Iron"", ""Drying rack for clothing"", ""Children\u2019s books and toys"", ""Crib - available upon request"", ""Lano body soap"", ""Hot water"", ""Coffee maker"", ""Wifi"", ""Hot water kettle"", ""Hair dryer"", ""Baking sheet"", ""Outdoor dining area"", ""Cleaning products"", ""Single level home"", ""Smoke alarm"", ""Dishwasher"", ""Heating"", ""Private entrance"", ""Toaster"", ""Outdoor playground"", ""Host greets you"", ""Oven"", ""Backyard"", ""Pets allowed"", ""Kitchen"", ""High chair"", ""Outdoor furniture"", ""Stove"", ""Sound system"", ""Children\u2019s dinnerware"", ""Dining table"", ""Shampoo""]","$1,229.00",3,365,1,3,365,365,3.0,365.0,,t,6,7,7,7,2024-09-28,6,2,1,2019-10-04,2024-09-01,5.0,5.0,4.83,5.0,5.0,5.0,5.0,,t,1,1,0,0,0.1
1428,38226732,https://www.airbnb.com/rooms/38226732,20240928012050,2024-09-28,city scrape,"Beautiful, cozy apartment with outside patio","Beautiful apartment in a safe and quiet area. 45 sqm patio overlooking Østensjøvannet Lake. 10 min. busride to downtown Oslo. Internet (fiber 500 MB) and cable TV. Fully furnished and comes with all appliances and equipment: stove, fridge, dishwasher, washer and dryer. Fully equipped with plates, pans, cutlery, etc: everything you need. Underfloor heating. The apartment is located in a detached house, but with a separate entrance. Well insulated. Free parking in the road. Great location",Location<br />The residence is located in a popular and well-established residential area on Abildsø. Good living environment in a quiet street nearby. Østensjøvannet and Østmarka. Popular and child-friendly location within the boom ring with a short way to the center of Oslo.<br /><br />10 minutes by car to The Well Spa,https://a0.muscache.com/pictures/miso/Hosting-38226732/original/789970d2-b393-493c-9fed-cb3a012abb7d.jpeg,143272923,https://www.airbnb.com/users/show/143272923,Annie,2017-07-30,,,within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/1d85f31f-bbb4-495b-a121-bc2d1774065d.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/1d85f31f-bbb4-495b-a121-bc2d1774065d.jpg?aki_policy=profile_x_medium,Østensjø,1,1,"['email', 'phone']",t,t,"Bydel Østensjø, Oslo, Norway",Østensjø,,59.88272,10.82135,Entire condo,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Wine glasses"", ""Radiant heating"", ""Cooking basics"", ""Lake view"", ""Essentials"", ""Private backyard"", ""Body soap"", ""Outdoor furniture"", ""Free street parking"", ""Freezer"", ""Long term stays allowed"", ""Free parking on premises"", ""Refrigerator"", ""First aid kit"", ""Bed linens"", ""Fire extinguisher"", ""Dishes and silverware"", ""Lockbox"", ""Free washer \u2013 In unit"", ""BBQ grill"", ""Iron"", ""Drying rack for clothing"", ""Hot water"", ""50 inch HDTV with Chromecast, HBO Max, premium cable"", ""Bluetooth sound system"", ""Coffee maker"", ""Wifi"", ""Private patio or balcony"", ""Hair dryer"", ""Baking sheet"", ""Self check-in"", ""Cleaning products"", ""Smoke alarm"", ""Dishwasher"", ""Hangers"", ""Private entrance"", ""Clothing storage: closet"", ""Toaster"", ""Shower gel"", ""Oven"", ""Kitchen"", ""Free dryer \u2013 In unit"", ""Ethernet connection"", ""Extra pillows and blankets"", ""Stove"", ""Dining table"", ""Coffee"", ""Shampoo""]",$790.00,2,365,2,2,1125,1125,2.0,1125.0,,t,3,7,7,126,2024-09-28,59,13,2,2022-04-06,2024-09-20,4.9,4.93,4.9,4.97,4.9,4.93,4.81,,t,1,1,0,0,1.95
