,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
695,18640341,https://www.airbnb.com/rooms/18640341,20240928012050,2024-09-28,city scrape,Light & bright bedroom in cosy apartment in Bjerke,"Light and bright bedroom with closet space, a drawer and a desk. You can use other areas in the apartment. Bathroom and the washing machine. Kitchen - go for it!<br />The outside space is awesome, and I also have a balcony. The area is nice and quiet, so no party animals, please. <br />I live here myself and work full time. <br />I have another guest room, but that one is for my friends and family. <br />Wifi on the house. <br />My friends dog stays with me now and then.",Park on the outside. Basketball. Volleyball. Cafe.,https://a0.muscache.com/pictures/51e0d173-36fc-4a66-874b-8cf70d55eca6.jpg,129518832,https://www.airbnb.com/users/show/129518832,Nina,2017-05-09,"Oslo, Norway","This is my private home.
I work full time, and I'm not always available to hang out. I like my own place.
Love coffee, long mornings and keeping things tidy and clean.

Aaaaaand my MC, TV and couch. And my family. And my friends. And cool people.

I take care of my friends dog from time to time. He is huge, but kind.
Be honest, nice and clean. Thank you :)

Tell me about you.",within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/User-129518832/original/e8f9060b-592f-4f5d-8bbf-90150f248309.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-129518832/original/e8f9060b-592f-4f5d-8bbf-90150f248309.jpeg?aki_policy=profile_x_medium,Bjerke,1,1,"['email', 'phone']",t,t,"Oslo, Norway",Bjerke,,59.93979,10.82343,Private room in rental unit,Private room,1,1.0,1 shared bath,1.0,1.0,"[""Cooking basics"", ""Essentials"", ""Long term stays allowed"", ""Dedicated workspace"", ""Refrigerator"", ""First aid kit"", ""TV with standard cable"", ""Bed linens"", ""Fire extinguisher"", ""Dishes and silverware"", ""Washer"", ""Iron"", ""Shared patio or balcony"", ""Drying rack for clothing"", ""Hot water"", ""Wifi"", ""Hot water kettle"", ""Hair dryer"", ""Cleaning products"", ""Smoke alarm"", ""Dishwasher"", ""Heating"", ""Hangers"", ""Clothing storage: closet"", ""Microwave"", ""Toaster"", ""Host greets you"", ""Oven"", ""Lock on bedroom door"", ""Coffee maker: drip coffee maker"", ""Backyard"", ""Kitchen"", ""Stove"", ""Dining table""]",$434.00,31,1125,31,31,1125,1125,31.0,1125.0,,t,0,14,44,134,2024-09-28,6,2,1,2017-06-01,2024-09-07,5.0,5.0,5.0,5.0,4.83,4.67,4.67,,f,1,0,1,0,0.07
790,20707489,https://www.airbnb.com/rooms/20707489,20240928012050,2024-09-28,city scrape,Bueautiful and fully equipped 1 bedroom in Sagene,"This beautiful one bedroom apartment is in the popular area, Sagene. Everything in the apartment is high-standard and the location is very central but in a peaceful neighborhood where you can also find a number of bars and restaurants. Walking distance to all main attractions in Oslo. The apartment has a quality double bed and sofa in the living room. 55 m2, modern bathroom, newly renovated ,large fully-equipped kitchen, appliances: fridge, oven, dishwasher, freezer, , coffee machine.",,https://a0.muscache.com/pictures/e5dfc0f5-112e-4672-86c9-221f1e4bf254.jpg,148238088,https://www.airbnb.com/users/show/148238088,Nina,2017-08-29,"Oslo, Norway",,,,,f,https://a0.muscache.com/im/pictures/user/f5727ba6-e1fd-40b7-99c6-d71b466cbe49.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/f5727ba6-e1fd-40b7-99c6-d71b466cbe49.jpg?aki_policy=profile_x_medium,Sagene,1,1,"['email', 'phone']",t,f,,Sagene,,59.93894,10.75776,Entire rental unit,Entire home/apt,3,1.0,1 bath,1.0,1.0,"[""Wifi"", ""Essentials"", ""Kitchen"", ""Washer"", ""Shampoo"", ""Heating""]","$1,500.00",3,4,3,3,4,4,3.0,4.0,,t,29,59,89,89,2024-09-28,0,0,0,,,,,,,,,,,f,1,1,0,0,
1193,32584703,https://www.airbnb.com/rooms/32584703,20240928012050,2024-09-28,city scrape,Cozy apartment close to city centre,"Enjoy Oslo in this cozy one room apartment with room for 3-4 people, located just 10 minutes from the city life vibe. Good bus, tram and metro transportation. Quiet area with good restaurants, cinema, stores and shopping mall close by. Sleeping alcove and a sofa bed. Fully equipped kitchen with a dishwasher. Sunny balcony.",,https://a0.muscache.com/pictures/miso/Hosting-32584703/original/929b1915-6359-4893-bf81-799814921719.jpeg,27995985,https://www.airbnb.com/users/show/27995985,Nina,2015-02-19,"Oslo, Norway","I love to travel and experience new places and people, and spends a lot of time with my family and friends.
When travelling I like to stay at unique places to experience what its like to be a local. 
My life motto is ""Everything is gonna be alright""!",a few days or more,40%,15%,f,https://a0.muscache.com/im/users/27995985/profile_pic/1441607997/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/27995985/profile_pic/1441607997/original.jpg?aki_policy=profile_x_medium,Sagene,1,2,"['email', 'phone']",t,f,,Sagene,,59.94173640297743,10.771554305247392,Entire rental unit,Entire home/apt,3,1.0,1 bath,0.0,2.0,"[""TV"", ""Fire extinguisher"", ""Wifi"", ""Host greets you"", ""Hair dryer"", ""Kitchen"", ""Iron"", ""Smoke alarm""]",$650.00,3,60,3,3,60,60,3.0,60.0,,t,17,26,47,221,2024-09-28,5,5,2,2024-06-30,2024-09-25,5.0,5.0,5.0,5.0,5.0,4.8,5.0,,f,1,1,0,0,1.65
1567,41991364,https://www.airbnb.com/rooms/41991364,20240928012050,2024-09-28,city scrape,Terrasseleilighet i rolig område nær T-banen,"Practical terrace apartment (130m2) with large terrace and table tennis table in the living room. <br /><br />Access to large private garden with nice playground. <br /><br />4 min walk to subway The track takes 15 minutes to down town, 2 minutes to shops and 20 minutes to Holmenkollen. <br /> <br />10 minutes walk to large hiking areas (Nordmarka).",Quiet area. Family friendly. Short distance to hiking areas around Sognsvann and in Nordmarka. <br /><br />Large playground in the garden. Large tennis and padel club as closest neighbor. Fitness center with drop in at Heming football club (5 min walk).,https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NDE5OTEzNjQ%3D/original/71e3adae-596b-425e-97e2-2d7e4373c92e.jpeg,332565567,https://www.airbnb.com/users/show/332565567,Nina,2020-02-01,"Oslo, Norway",,,,100%,f,https://a0.muscache.com/im/pictures/user/0cd0e0b0-205b-4f74-a554-0e843d88b13a.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/0cd0e0b0-205b-4f74-a554-0e843d88b13a.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,f,"Ris, Oslo, Norway",Vestre Aker,,59.95766830444336,10.705448150634766,Entire condo,Entire home/apt,6,1.5,1.5 baths,3.0,3.0,"[""Wine glasses"", ""Room-darkening shades"", ""Cooking basics"", ""Blender"", ""Essentials"", ""Lactacyd body soap"", ""Outdoor furniture"", ""Free street parking"", ""Freezer"", ""Dedicated workspace"", ""Free parking on premises"", ""Books and reading material"", ""Elevator"", ""TV with standard cable"", ""Bed linens"", ""Fire extinguisher"", ""Safe"", ""Miele refrigerator"", ""Dishes and silverware"", ""Shampoo"", ""Bathtub"", ""Lockbox"", ""Miele induction stove"", ""EV charger"", ""Washer"", ""Iron"", ""Drying rack for clothing"", ""Piano"", ""Ping pong table"", ""Miele single oven"", ""Private backyard \u2013 Fully fenced"", ""Hot water"", ""Conditioner"", ""Wifi"", ""Hot water kettle"", ""Hair dryer"", ""Private patio or balcony"", ""Outdoor dining area"", ""Pocket wifi"", ""Self check-in"", ""Cleaning products"", ""Shared gym nearby"", ""Single level home"", ""Smoke alarm"", ""Dishwasher"", ""Heating"", ""Hangers"", ""Microwave"", ""Outdoor playground"", ""Shower gel"", ""Pets allowed"", ""Kitchen"", ""Free dryer \u2013 In unit"", ""Portable fans"", ""Exercise equipment: yoga mat"", ""Extra pillows and blankets"", ""Dining table"", ""Coffee"", ""Garden view""]","$2,500.00",3,13,3,3,1125,1125,3.0,1125.0,,t,23,38,59,64,2024-09-28,10,1,0,2020-07-05,2024-01-03,4.6,4.8,4.5,4.6,4.9,4.9,4.7,,t,1,1,0,0,0.19
1856,49151596,https://www.airbnb.com/rooms/49151596,20240928012050,2024-09-28,city scrape,Hospitality House.,5 minutes from the city center by bike.<br />5 minutes from the Fjord and the beach by bike.<br />10 minutes by car from the mountain/ski resort (Holmenkollen).<br />2 min from the metro station and the bus.<br />3 minutes from the best gym in town  (SATS).<br />5 minutes from the supermarket.<br />1 min from a football pitch.,residential,https://a0.muscache.com/pictures/airflow/Hosting-49151596/original/836f4027-3d70-42d2-941c-dc93b32e348e.jpg,36247225,https://www.airbnb.com/users/show/36247225,Nicolas,2015-06-20,"Oslo, Norway",Jeune francais travaillant dans l'evenementiel en Norvege. ,within a day,70%,0%,f,https://a0.muscache.com/im/pictures/user/User-36247225/original/d6bcebe5-2b1c-4b14-b7e6-e59cadc37e1c.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-36247225/original/d6bcebe5-2b1c-4b14-b7e6-e59cadc37e1c.jpg?aki_policy=profile_x_medium,,2,2,"['email', 'phone']",t,t,"Ullern, Oslo, Norway",Ullern,,59.93460801870647,10.67533771616169,Entire condo,Entire home/apt,3,1.0,1 bath,1.0,3.0,"[""Cooking basics"", ""Clothing storage"", ""Essentials"", ""Free street parking"", ""Dedicated workspace"", ""Refrigerator"", ""Free parking on premises"", ""Bed linens"", ""Fire extinguisher"", ""Dishes and silverware"", ""Washer"", ""Iron"", ""Exterior security cameras on property"", ""TV"", ""Wifi"", ""Hair dryer"", ""Dryer"", ""Smoke alarm"", ""Heating"", ""Hangers"", ""Host greets you"", ""Backyard"", ""Kitchen"", ""Extra pillows and blankets"", ""Garden view""]",$473.00,7,1125,7,7,1125,1125,7.0,1125.0,,t,0,22,52,232,2024-09-28,0,0,0,,,,,,,,,,,f,2,1,1,0,
2613,627276790717938260,https://www.airbnb.com/rooms/627276790717938260,20240928012050,2024-09-28,city scrape,Bright and spacious room in a pretty apartment,"Spacious room with a desk in a pretty pretty apartment with a balcony and pretty pretty view. <br /><br />The apartment is 7/10 central, located nearby Grünerløkka where you will probably want to go, and two different bus lines from the central station will bring you to a 1,5 minute walk from the door. <br /><br />Heated floor bathroom with a rainfall shower where you can also do a quick laundry and dryer if needed. Kitchen is available to use, supermarket 3 minutes away.<br /><br />3rd floor, no elevator :---)","My place is in a quiet, green street close to the river and Grünerløkka, the food court Mathallen and a lot of bars and restaurants. The picturesque little street Telthusbakken is right up the hill, and Oslos oldest building Aker kirke offers a nice view of the city. My location also offers a nice walking route down to the main street Karl Johan for your mandatory tourist view of the palace, and the pier Aker Brygge where you find the boats to our lovely fjord islands which are worth a visit in summertime.",https://a0.muscache.com/pictures/miso/Hosting-627276790717938260/original/89e6b463-1592-4a6b-a9f7-1299c6d62517.jpeg,16041984,https://www.airbnb.com/users/show/16041984,Nina,2014-05-27,"Oslo, Norway","Hallo! My name is Nina, I’m a designer (who hates designing) based in Oslo, Norway who loves new people, sailing, and have missed doing AirBnb hosting :0)",within a few hours,100%,91%,t,https://a0.muscache.com/im/pictures/user/f65e7c97-4959-4b08-a58f-127c2b65acfc.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/f65e7c97-4959-4b08-a58f-127c2b65acfc.jpg?aki_policy=profile_x_medium,,1,2,"['email', 'phone', 'work_email']",t,t,"Oslo kommune, Oslo, Norway",St. Hanshaugen,,59.925316,10.748595,Private room in condo,Private room,1,1.0,1 shared bath,1.0,1.0,"[""Wine glasses"", ""Room-darkening shades"", ""Cooking basics"", ""Essentials"", ""Outdoor furniture"", ""Dedicated workspace"", ""Refrigerator"", ""Indoor fireplace: wood-burning"", ""TV with Apple TV"", ""Washer \u2013\u00a0In unit"", ""Fire pit"", ""Bed linens"", ""Fire extinguisher"", ""Shared backyard \u2013 Not fully fenced"", ""Dishes and silverware"", ""Dryer \u2013\u00a0In unit"", ""Iron"", ""Park view"", ""Hot water"", ""Wifi"", ""Private patio or balcony"", ""Smoke alarm"", ""Dishwasher"", ""Heating"", ""Toaster"", ""Host greets you"", ""Lock on bedroom door"", ""Kitchen"", ""Induction stove"", ""Shower gel"", ""Garden view""]",$666.00,1,3,1,1,3,3,1.0,3.0,,t,1,1,1,1,2024-09-28,43,19,2,2022-09-05,2024-09-22,4.95,4.98,4.98,5.0,5.0,4.86,4.88,,f,1,0,1,0,1.71
3030,664983845290278038,https://www.airbnb.com/rooms/664983845290278038,20240928012050,2024-09-28,city scrape,Hus i Oslo,"Lovely house, panoramic view, close to subway, perfect for families with children.","Cozy and quiet neighborhood, short distance to public communication and grocery.",https://a0.muscache.com/pictures/hosting/Hosting-664983845290278038/original/31f8a9b9-79e2-4c5a-a130-e53b3c0c4635.jpeg,148162313,https://www.airbnb.com/users/show/148162313,Nina,2017-08-29,"Oslo, Norway",,,,0%,f,https://a0.muscache.com/im/pictures/user/22e012bc-b954-4ae3-87fc-74c44f0f4111.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/22e012bc-b954-4ae3-87fc-74c44f0f4111.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,"Ullern, Oslo, Norway",Ullern,,59.93442761876238,10.653705675987124,Entire villa,Entire home/apt,6,2.5,2.5 baths,4.0,5.0,"[""City skyline view"", ""Indoor fireplace"", ""Air conditioning"", ""Dedicated workspace"", ""Free parking on premises"", ""Fire pit"", ""Fire extinguisher"", ""BBQ grill"", ""Iron"", ""Washer"", ""Piano"", ""TV"", ""Wifi"", ""Outdoor dining area"", ""Self check-in"", ""Smoke alarm"", ""Sea view"", ""Kitchen"", ""Keypad"", ""Bay view""]","$2,300.00",1,365,1,1,365,365,1.0,365.0,,t,0,0,0,211,2024-09-28,0,0,0,,,,,,,,,,,f,1,1,0,0,
3274,695226485427615097,https://www.airbnb.com/rooms/695226485427615097,20240928012050,2024-09-28,previous scrape,Stor enebolig i hyggelig nabolag,Bring the whole family to this great place with lots of room for fun.,,https://a0.muscache.com/pictures/miso/Hosting-695226485427615097/original/4e5a0054-ca15-4795-9362-d219b9734bb6.jpeg,475323706,https://www.airbnb.com/users/show/475323706,Nina,2022-08-16,,,a few days or more,0%,0%,f,https://a0.muscache.com/defaults/user_pic-50x50.png?v=3,https://a0.muscache.com/defaults/user_pic-225x225.png?v=3,,1,1,"['email', 'phone']",f,f,,Stovner,,59.9432655,10.9233773,Entire home,Entire home/apt,8,,3 baths,4.0,,"[""Exercise equipment"", ""TV"", ""Fire extinguisher"", ""Wifi"", ""Kitchen"", ""Air conditioning"", ""BBQ grill"", ""Washer"", ""Dedicated workspace"", ""Free parking on premises"", ""First aid kit"", ""Smoke alarm""]",,3,67,3,3,67,67,3.0,67.0,,t,27,57,87,362,2024-09-28,0,0,0,,,,,,,,,,,f,1,1,0,0,
3888,815088425750707825,https://www.airbnb.com/rooms/815088425750707825,20240928012050,2024-09-28,city scrape,Barnevennlig på St. Hanshaugen,"Super central and peaceful apartment with three bedrooms and garden on lovely St. Hanshaugen. The apartment is well suited for families with small families with master bedrooms with extra wide bed (210 cm), one children's room and one bedroom with bed that can be turned into a double bed. The apartment has a field terrace with hammock and quiet atrium with sandbox and playground just below the block. It is free parking in the garage under the apartment.","St Hanshaugen is my favorite city in Oslo. It is relaxing and peaceful, but at the same time has a good cultural life and cozy shops and restaurants. In addition, it is both central and green with nice parks and beautiful cemeteries where many famous personalities and artists are buried. Pilestredet park is a quiet and centrally located part of St. Hanshaugen with pedestrian streets and green small parks.",https://a0.muscache.com/pictures/321a84f5-1380-468a-ae32-af62f0d9b18a.jpg,6071080,https://www.airbnb.com/users/show/6071080,Nina,2013-04-24,"Oslo, Norway","Hi! I love to travel around the world in different ways – to big cities, lovely nature, long journeys by train, or active holidays with skiing or sailing. I also host our apartment with my partner Jørn, children Erle and Elias, and our two dogs Tinka and Yatzy. I love to meet new people, learn something new and make things (such as making my own furniture – I've made a lot of the furniture in our apartment  myself).",within a few hours,100%,100%,f,https://a0.muscache.com/im/users/6071080/profile_pic/1369677014/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/6071080/profile_pic/1369677014/original.jpg?aki_policy=profile_x_medium,,2,4,"['email', 'phone', 'work_email']",t,t,"Sankt Hanshaugen, Oslo, Norway",St. Hanshaugen,,59.92163630231912,10.73995817452669,Entire condo,Entire home/apt,6,1.5,1.5 baths,3.0,3.0,"[""Wine glasses"", ""Outlet covers"", ""Cooking basics"", ""Blender"", ""Essentials"", ""Freezer"", ""Long term stays allowed"", ""Dedicated workspace"", ""Refrigerator"", ""Standalone high chair - always at the listing"", ""Books and reading material"", ""Elevator"", ""Bed linens"", ""Fire extinguisher"", ""Bikes"", ""Children\u2019s bikes"", ""Dishes and silverware"", ""BBQ grill"", ""Washer"", ""Iron"", ""Drying rack for clothing"", ""Private backyard \u2013 Fully fenced"", ""Hot water"", ""Children\u2019s books and toys for ages 2-5 years old and 5-10 years old"", ""Crib"", ""TV"", ""Wifi"", ""Hot water kettle"", ""Hair dryer"", ""Baking sheet"", ""Private patio or balcony"", ""Outdoor dining area"", ""Cleaning products"", ""Children's playroom"", ""Single level home"", ""Smoke alarm"", ""Dishwasher"", ""Board games"", ""Hammock"", ""Central heating"", ""Microwave"", ""Toaster"", ""Outdoor playground"", ""Host greets you"", ""Free parking garage on premises"", ""Oven"", ""Coffee maker: drip coffee maker"", ""Barbecue utensils"", ""Kitchen"", ""Free dryer \u2013 In unit"", ""Induction stove"", ""Outdoor furniture"", ""Children\u2019s dinnerware"", ""Dining table""]","$2,400.00",4,40,4,4,40,40,4.0,40.0,,t,0,0,0,76,2024-09-28,5,3,1,2023-07-15,2024-09-20,5.0,5.0,5.0,5.0,5.0,5.0,4.4,,f,1,1,0,0,0.34
4679,894004269831909641,https://www.airbnb.com/rooms/894004269831909641,20240928012050,2024-09-28,city scrape,this room is NOT for rent anymore,"hi, this room is not for rent but Airbnb won't let me delete the listing...",,https://a0.muscache.com/pictures/558da491-0105-44cc-8e0c-dc74b8068689.jpg,106932066,https://www.airbnb.com/users/show/106932066,Nina,2016-12-11,"Frankfurt, Germany",,,,,f,https://a0.muscache.com/im/pictures/user/0afa4f71-feaa-4101-80eb-d4e03a9fecdf.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/0afa4f71-feaa-4101-80eb-d4e03a9fecdf.jpg?aki_policy=profile_x_medium,,1,3,"['email', 'phone']",t,t,,Gamle Oslo,,59.91413629669907,10.770915959625274,Private room in rental unit,Private room,1,1.0,1 bath,1.0,1.0,"[""Fire extinguisher"", ""Wifi"", ""Kitchen"", ""Washer"", ""Dedicated workspace"", ""Smoke alarm""]","$1,500.00",1,365,1,1,365,365,1.0,365.0,,t,29,59,89,364,2024-09-28,0,0,0,,,,,,,,,,,f,1,0,1,0,
5092,909505756422594231,https://www.airbnb.com/rooms/909505756422594231,20240928012050,2024-09-28,city scrape,Leilighet på Grunerløkka,"Cozy apartment of 60 sqm with balcony in the heart of Grunerløkka.  In this place in a perfect location, you'll have easy access to everything.<br /><br />The apartment has a balcony, bathtub and fireplace. The bed in the bedroom is 160cm wide so it is perfect for 2 persons. Bed linen and towels are included. There is also a washing machine in the bathroom that is free to use.<br /><br />In the bedroom there is a closet available for the guests.","This apartment is located on upper Grunerløkka. Here you can find all you need just a stone's throw away! The apartment is located right by Akerselva, where you can follow the river in idyllic surroundings up. Otherwise, head to one of the many parks, restaurants, and bars Grunerløkka.",https://a0.muscache.com/pictures/hosting/Hosting-909505756422594231/original/f5d481a5-6540-4f6d-85ea-6f53b6ba23c1.jpeg,33904404,https://www.airbnb.com/users/show/33904404,Nina,2015-05-21,"Oslo, Norway","Hei! 

Jeg er en kvinne på 29 år. Bor til vanlig på Grunerløkka, men elsker å reise for å se nye steder.",within a day,100%,43%,f,https://a0.muscache.com/im/pictures/user/User-33904404/original/54f06803-9b25-425d-a5ac-9d622a3afa16.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-33904404/original/54f06803-9b25-425d-a5ac-9d622a3afa16.jpeg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,"Grünerløkka, Oslo, Norway",Grünerløkka,,59.92532929999999,10.7554569,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Wine glasses"", ""Radiant heating"", ""Cooking basics"", ""Essentials"", ""Indoor fireplace"", ""Freezer"", ""Fire pit"", ""Bed linens"", ""Fire extinguisher"", ""IKEA  refrigerator"", ""Dishes and silverware"", ""Bathtub"", ""Coffee maker: french press, Nespresso"", ""Single oven"", ""Washer"", ""Iron"", ""Drying rack for clothing"", ""Hot water"", ""TV"", ""Wifi"", ""Hot water kettle"", ""Hair dryer"", ""Private patio or balcony"", ""Shared backyard \u2013 Fully fenced"", ""Cleaning products"", ""Paid parking on premises"", ""Smoke alarm"", ""Dishwasher"", ""Hangers"", ""Sonos Bluetooth sound system"", ""Clothing storage: closet"", ""Microwave"", ""Outdoor playground"", ""Toaster"", ""Pets allowed"", ""Kitchen"", ""Free dryer \u2013 In unit"", ""Induction stove"", ""Portable fans"", ""Outdoor furniture"", ""Dining table""]","$1,120.00",3,365,3,3,365,365,3.0,365.0,,t,5,5,5,5,2024-09-28,5,3,1,2023-07-02,2024-09-16,5.0,5.0,4.6,4.8,5.0,5.0,5.0,,f,1,1,0,0,0.33
5309,917479815806912921,https://www.airbnb.com/rooms/917479815806912921,20240928012050,2024-09-28,city scrape,"Urban apartment, rooftop terrace",Welcome to my 47m2 (550ft2) urban apartment at Tøyen. Enjoy the perfect location near everything. It takes aprox. 15 min to Oslo S as well as to Bjørvika where you can enjoy a swim in the summer. Its only a 7 min walk to Grünerløkka and 5 min to Grønland. The subway (tøyen) is only 5 min away. Take in the stunning view from the shared rooftop terrace or enjoy a bbq in the backyard. This modern apartment has an elevator so you can easily bring your stuff up to the apartment at the 4th floor.,,https://a0.muscache.com/pictures/53efaf71-bff1-47cd-b6f2-aae21c249bf4.jpg,51983853,https://www.airbnb.com/users/show/51983853,Nina,2015-12-22,"Oslo, Norway",,within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/User-51983853/original/b6be86df-b93b-479e-9803-99cdbf42766a.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-51983853/original/b6be86df-b93b-479e-9803-99cdbf42766a.jpeg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,,Gamle Oslo,,59.91398730780715,10.768868364393713,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Wine glasses"", ""Cooking basics"", ""City skyline view"", ""Blender"", ""Essentials"", ""Outdoor furniture"", ""Freezer"", ""Refrigerator"", ""Elevator"", ""Bed linens"", ""Fire extinguisher"", ""Electric stove"", ""Safe"", ""Dishes and silverware"", ""Dryer \u2013\u00a0In unit"", ""Lockbox"", ""BBQ grill"", ""Washer"", ""Iron"", ""Shared patio or balcony"", ""Hot water"", ""Bluetooth sound system"", ""Coffee maker"", ""TV"", ""Hot water kettle"", ""Hair dryer"", ""Baking sheet"", ""Shared backyard \u2013 Fully fenced"", ""Outdoor dining area"", ""Self check-in"", ""Fast wifi \u2013 326 Mbps"", ""Cleaning products"", ""Paid parking on premises"", ""Single level home"", ""Smoke alarm"", ""Dishwasher"", ""Board games"", ""Beach access \u2013 Beachfront"", ""Paid street parking off premises"", ""Central heating"", ""Microwave"", ""Toaster"", ""Oven"", ""Kitchen"", ""Extra pillows and blankets"", ""Dining table""]","$1,221.00",3,365,3,3,365,365,3.0,365.0,,t,4,7,14,37,2024-09-28,22,15,0,2023-07-10,2024-07-29,5.0,4.95,4.95,4.95,5.0,4.77,4.86,,f,1,1,0,0,1.48
5748,933789545181784183,https://www.airbnb.com/rooms/933789545181784183,20240928012050,2024-09-28,previous scrape,Romslig og sentral leilighet,"Discover the charm of Oslo from this perfectly situated 1-bedroom apartment. Located in the heart of Grünerløkka, you'll have everything within reach. The cozy bedroom offers a peaceful retreat, while the living area provides a comfortable space to relax and unwind. Step outside, and you'll find yourself surrounded by trendy cafes, nice restaurants and it's is close to the river. Public transportation is easily accessible.",,https://a0.muscache.com/pictures/dc61fb3f-5c11-4e25-8d7a-02f0a875d8f0.jpg,127819148,https://www.airbnb.com/users/show/127819148,Nina,2017-04-27,"Oslo, Norway",,within a few hours,100%,56%,t,https://a0.muscache.com/im/pictures/user/daa0334f-27d3-40dd-8ef2-13ff3f46bf89.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/daa0334f-27d3-40dd-8ef2-13ff3f46bf89.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,f,,Grünerløkka,,59.91891,10.75966,Entire rental unit,Entire home/apt,2,,1 bath,1.0,,"[""Room-darkening shades"", ""Cooking basics"", ""Essentials"", ""Body soap"", ""Dedicated workspace"", ""Bed linens"", ""Fire extinguisher"", ""Safe"", ""Dishes and silverware"", ""Lockbox"", ""Single oven"", ""BBQ grill"", ""Washer"", ""Drying rack for clothing"", ""TV"", ""Wifi"", ""Shared backyard \u2013 Fully fenced"", ""Outdoor dining area"", ""Self check-in"", ""Cleaning products"", ""Smoke alarm"", ""Dishwasher"", ""Outdoor playground"", ""Pets allowed"", ""Kitchen"", ""Portable heater"", ""Stove"", ""Dining table"", ""Shampoo""]",,3,30,3,3,30,30,3.0,30.0,,t,0,0,0,0,2024-09-28,16,7,0,2023-08-01,2024-08-23,4.81,4.88,4.94,4.88,5.0,5.0,4.94,,f,1,1,0,0,1.13
